"","village","temps_au_village","ethnie","niveau_etudes","activite_1","activite_2","activite_3","temps_chasseur","especes_chassees","chasse_fusil","temps_strategie_fusil","type_chasse_fusil","chasse_arcfleches","temps_strategie_arcfleches","type_chasse_arcfleches","chasse_machette","temps_strategie_machette","efficacite_strategie_machette","nombre_personnes_machette","temps_strategie_pieges","type_chasse_pieges","chasse_chiens","temps_strategie_chiens","type_chasse_chiens","Age"
"1",5,50,"nkundu","aucune","chasse","peche","autre",25,"petitsmoyensongules_autre","oui","journuit","individuelle","non","","","oui","journuit","50%",NA,"","","non","","",50
"2",5,31,"nkundu","primaire","chasse","peche","autre",6,"petitsmoyensongules_grandsongules","non","","","oui","nuit","collective","oui","nuit",">50%",NA,"","","non","","",31
"3",5,67,"nkundu","secondaire","chasse","peche","agriculture",50,"autre","oui","jour","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",67
"4",5,53,"nkundu","primaire","chasse","peche","agriculture",38,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","oui","journuit","individuelle",53
"5",5,36,"nkundu","secondaire","chasse","peche","agriculture",14,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins","non","","","oui","nuit","individuelle","non","","",NA,"journuit","individuelle","non","","",36
"6",5,31,"nkundu","secondaire","chasse","peche","autre",18,"petitsmoyensongules_sangliers_grandsongules_singes_rongeurs_oiseaux","oui","journuit","collective","oui","journuit","collective","oui","journuit","50%",4,"journuit","individuelle","non","","",31
"7",5,29,"nkundu","secondaire","chasse","peche","autre",21,"petitsmoyensongules_grandsongules_sangliers_singes","non","","","oui","nuit","individuelle_collective","non","","",NA,"","","non","","",29
"8",5,46,"nkundu","primaire","chasse","peche","autre",18,"rongeurs_petitsmoyensongules","non","","","non","","","non","","",NA,"journuit","individuelle","non","","",46
"9",5,29,"nkundu","secondaire","chasse","peche","autre",18,"grandsongules_sangliers_pangolins_petitsmoyensongules_singes_rongeurs_oiseaux_reptiles","oui","journuit","individuelle","oui","nuit","collective","oui","journuit","50%",NA,"journuit","individuelle","non","","",29
"10",1,45,"nkundu","aucune","chasse","peche","agriculture",31,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_reptiles_oiseaux","non","","","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",45
"11",1,53,"nkundu","universite","chasse","peche","agriculture",15,"rongeurs_petitsmoyensongules_grandsongules_sangliers_autre_reptiles_singes_pangolins_oiseaux","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"","","oui","journuit","individuelle",53
"12",1,25,"nkundu","secondaire","chasse","peche","agriculture",16,"petitsmoyensongules_sangliers_grandsongules","oui","nuit","individuelle","oui","nuit","individuelle","oui","journuit",">50%",NA,"","","non","","",25
"13",1,62,"nkundu","primaire","chasse","peche","agriculture",13,"elephant_buffles_sangliers_petitsmoyensongules_singes_grandsongules_rongeurs","oui","jour","individuelle","oui","jour","individuelle","oui","jour","50%",NA,"journuit","individuelle","non","","",62
"14",1,36,"nkundu","secondaire","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",36
"15",1,34,"nkundu","secondaire","autre","chasse","peche",13,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_pangolins","non","","","oui","nuit","individuelle","non","","",NA,"journuit","individuelle","non","","",34
"16",1,37,"nkundu","primaire","chasse","peche","agriculture",10,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",37
"17",1,68,"nkundu","secondaire","autre","chasse","peche",10,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","non","","","oui","jour","individuelle","non","","",NA,"journuit","individuelle","non","","",68
"18",1,40,"nkundu","primaire","chasse","peche","agriculture",18,"petitsmoyensongules_grandsongules_singes","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",40
"19",1,44,"nkundu","primaire","chasse","peche","agriculture",16,"petitsmoyensongules_grandsongules_sangliers_singes","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"journuit","individuelle","non","","",44
"20",1,40,"nkundu","secondaire","chasse","peche","agriculture",10,"sangliers_grandsongules_petitsmoyensongules","non","","","oui","journuit","individuelle","non","","",NA,"journuit","individuelle","non","","",40
"21",1,NA,"nkundu","primaire","chasse","peche","agriculture",8,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"","","non","","",53
"22",2,43,"nkundu","primaire","chasse","agriculture","peche",25,"rongeurs_sangliers_grandsongules_petitsmoyensongules_singes_autre","non","","","oui","journuit","individuelle_collective","oui","journuit","50%",NA,"journuit","individuelle","non","","",43
"23",2,36,"nkundu","primaire","chasse","agriculture","autre",31,"petitsmoyensongules_grandsongules_sangliers_buffles_singes_pangolins_rongeurs_reptiles_oiseaux_autre","oui","journuit","individuelle","oui","journuit","collective","non","","",NA,"journuit","individuelle","non","","",36
"24",2,15,"nkundu","secondaire","chasse","autre","autre",2,"petitsmoyensongules_grandsongules_rongeurs_singes_pangolins","non","","","oui","journuit","collective","non","","",NA,"","","oui","jour","collective",23
"25",6,14,"nkundu","universite","salarie","chasse","agriculture",30,"petitsmoyensongules_grandsongules_sangliers_buffles_elephant_singes_pangolins_rongeurs_reptiles_oiseaux","oui","journuit","individuelle_collective","oui","nuit","collective","non","","",NA,"","","non","","",23
"26",2,38,"nkundu","secondaire","agriculture","salarie","agriculture",18,"grandsongules_petitsmoyensongules","non","","","oui","journuit","individuelle","oui","jour","50%",NA,"","","non","","",38
"27",2,20,"nkundu","secondaire","chasse","agriculture","autre",15,"singes","oui","jour","individuelle","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","oui","jour","individuelle",61
"28",2,31,"nkundu","secondaire","chasse","autre","autre",14,"petitsmoyensongules","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",31
"29",2,23,"nkundu","secondaire","agriculture","chasse","autre",17,"petitsmoyensongules_sangliers","non","","","oui","nuit","collective","oui","journuit","50%",NA,"","","non","","",33
"30",2,35,"nkundu","secondaire","agriculture","chasse","autre",20,"petitsmoyensongules_grandsongules_singes","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",38
"31",2,42,"nkundu","secondaire","salarie","agriculture","chasse",10,"rongeurs","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",42
"32",2,49,"nkundu","secondaire","agriculture","chasse","autre",15,"sangliers_petitsmoyensongules_grandsongules_singes","non","","","oui","jour","individuelle","oui","jour","50%",NA,"journuit","individuelle","non","","",49
"33",2,48,"nkundu","secondaire","chasse","agriculture","autre",21,"oiseaux_reptiles_rongeurs_pangolins_bonobos_singes_elephant_buffles_sangliers_grandsongules_petitsmoyensongules","oui","journuit","individuelle","oui","nuit","individuelle","non","","",NA,"journuit","individuelle","non","","",48
"34",6,37,"nkundu","secondaire","agriculture","chasse","peche",10,"autre","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit",">50%",NA,"journuit","individuelle","non","","",37
"35",6,30,"nkundu","secondaire","chasse","agriculture","autre",10,"rongeurs_autre","non","","","oui","nuit","collective","non","","",NA,"jour","individuelle","non","","",30
"36",4,38,"nkundu","secondaire","agriculture","chasse","peche",15,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles_oiseaux","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit",">50%",NA,"journuit","individuelle","non","","",38
"37",6,31,"nkundu","primaire","chasse","agriculture","autre",15,"petitsmoyensongules_grandsongules_rongeurs_pangolins","oui","journuit","collective","oui","nuit","collective","non","","",NA,"jour","collective","non","","",31
"38",4,23,"nkundu","secondaire","chasse","peche","autre",12,"autre","oui","journuit","individuelle","oui","journuit","collective","oui","journuit","50%",NA,"journuit","individuelle","non","","",23
"39",4,48,"nkundu","primaire","agriculture","chasse","autre",8,"autre","non","","","non","","","oui","jour","50%",NA,"journuit","individuelle","non","","",48
"40",4,4,"nkundu","secondaire","agriculture","chasse","peche",42,"autre","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",46
"41",4,36,"nkundu","aucune","chasse","peche","agriculture",11,"petitsmoyensongules_grandsongules","oui","jour","collective","oui","journuit","individuelle","non","","",NA,"","","oui","jour","individuelle_collective",36
"42",4,27,"nkundu","secondaire","agriculture","chasse","autre",27,"autre","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",50
"43",2,35,"nkundu","secondaire","agriculture","chasse","autre",10,"petitsmoyensongules_rongeurs","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","non","","",40
"44",2,48,"nkundu","secondaire","agriculture","chasse","autre",15,"autre","oui","journuit","individuelle","oui","jour","individuelle","oui","journuit","100%",NA,"journuit","individuelle","non","","",48
"45",6,49,"nkundu","primaire","agriculture","autre","chasse",10,"rongeurs_grandsongules_petitsmoyensongules","non","","","oui","jour","individuelle","oui","jour","50%",NA,"jour","individuelle","oui","jour","individuelle",49
"46",6,31,"nkundu","secondaire","agriculture","chasse","autre",12,"rongeurs","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",31
"47",6,23,"nkundu","secondaire","chasse","agriculture","autre",15,"oiseaux_petitsmoyensongules_grandsongules_rongeurs_reptiles_pangolins_singes","oui","journuit","individuelle_collective","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle","non","","",23
"48",6,20,"nkundu","secondaire","chasse","peche","agriculture",15,"grandsongules","oui","journuit","individuelle_collective","oui","journuit","individuelle_collective","non","","",NA,"jour","individuelle","non","","",20
"49",2,18,"nkundu","secondaire","agriculture","chasse","autre",25,"autre","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",29
"50",2,40,"nkundu","secondaire","agriculture","chasse","autre",24,"petitsmoyensongules_grandsongules_sangliers","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",40
"51",4,28,"nkundu","secondaire","agriculture","chasse","peche",8,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_reptiles_oiseaux","oui","journuit","individuelle","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",28
"52",4,54,"nkundu","secondaire","agriculture","chasse","peche",13,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_pangolins_reptiles_oiseaux","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",54
"53",4,39,"nkundu","primaire","agriculture","agriculture","chasse",15,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"","","oui","jour","individuelle",39
"54",4,63,"nkundu","primaire","agriculture","chasse","peche",15,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_oiseaux","non","","","oui","nuit","individuelle","oui","nuit","50%",NA,"journuit","individuelle","non","","",63
"55",4,18,"nkundu","secondaire","agriculture","chasse","peche",16,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",37
"56",4,39,"nkundu","secondaire","agriculture","chasse","peche",19,"petitsmoyensongules_grandsongules_reptiles","non","","","oui","nuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",39
"57",4,46,"nkundu","secondaire","agriculture","chasse","peche",10,"sangliers_grandsongules_petitsmoyensongules_rongeurs_reptiles_singes_pangolins","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",46
"58",4,12,"nkundu","primaire","chasse","peche","agriculture",15,"singes_petitsmoyensongules_autre_grandsongules","oui","jour","individuelle_collective","non","","","non","","",NA,"","","non","","",23
"59",4,21,"nkundu","secondaire","peche","chasse","autre",3,"petitsmoyensongules_grandsongules_singes_autre_rongeurs","non","","","oui","journuit","collective","non","","",NA,"","","non","","",21
"60",6,13,"nkundu","secondaire","agriculture","autre","chasse",15,"autre","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"journuit","individuelle","non","","",59
"61",6,25,"nkundu","secondaire","agriculture","chasse","autre",36,"rongeurs","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",55
"62",3,40,"nkundu","primaire","chasse","agriculture","autre",15,"singes","oui","journuit","individuelle","non","","","non","","",NA,"","","non","","",40
"63",3,40,"nkundu","primaire","chasse","agriculture","autre",10,"petitsmoyensongules_sangliers_singes_rongeurs_reptiles","oui","journuit","individuelle","non","","","non","","",NA,"jour","individuelle","non","","",40
"64",3,33,"nkundu","primaire","chasse","peche","agriculture",12,"petitsmoyensongules_grandsongules_sangliers_pangolins","non","","","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",33
"65",3,38,"nkundu","primaire","chasse","peche","agriculture",10,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","non","","","oui","journuit","individuelle","oui","nuit","50%",NA,"jour","individuelle","non","","",38
"66",3,43,"nkundu","primaire","chasse","peche","agriculture",35,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_reptiles_rongeurs","oui","jour","individuelle","oui","jour","individuelle","oui","journuit",">50%",NA,"","","non","","",43
"67",5,31,"nkundu","primaire","chasse","peche","agriculture",12,"petitsmoyensongules_grandsongules_sangliers_singes_rongeurs_reptiles_oiseaux","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",31
"68",5,38,"nkundu","aucune","chasse","peche","agriculture",15,"petitsmoyensongules_grandsongules_singes_rongeurs_sangliers_pangolins","oui","journuit","individuelle","oui","nuit","individuelle","non","","",NA,"journuit","individuelle","non","","",38
"69",5,49,"nkundu","aucune","chasse","agriculture","peche",30,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",49
"70",5,61,"nkundu","aucune","chasse","peche","agriculture",43,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",61
"71",5,35,"nkundu","secondaire","chasse","peche","agriculture",18,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs","oui","journuit","individuelle_collective","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",35
"72",3,NA,"nkundu","secondaire","chasse","peche","agriculture",12,"petitsmoyensongules_grandsongules_sangliers_singes","non","","","oui","nuit","collective","non","","",NA,"jour","individuelle","oui","jour","individuelle",23
"73",3,NA,"nkundu","secondaire","chasse","peche","agriculture",6,"petitsmoyensongules_grandsongules_rongeurs_sangliers_singes_pangolins","non","","","oui","journuit","individuelle","oui","journuit","50%",NA,"jour","individuelle","non","","",23
"74",3,50,"nkundu","primaire","chasse","agriculture","agriculture",20,"petitsmoyensongules","oui","journuit","individuelle","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",50
"75",3,2,"nkundu","secondaire","autre","chasse","peche",35,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","oui","journuit","individuelle","oui","journuit","50%",NA,"","","non","","",23
"76",3,51,"nkundu","secondaire","chasse","peche","agriculture",20,"petitsmoyensongules_grandsongules_sangliers_singes_pangolins_rongeurs_reptiles","oui","journuit","individuelle","non","","","oui","journuit",">50%",NA,"","","non","","",51
"77",3,39,"nkundu","aucune","chasse","peche","agriculture",13,"petitsmoyensongules_grandsongules","oui","nuit","individuelle","oui","nuit","individuelle","oui","nuit","50%",NA,"","","non","","",39
"78",3,50,"nkundu","primaire","chasse","peche","agriculture",30,"petitsmoyensongules_grandsongules_pangolins_rongeurs","non","","","non","","","oui","jour","50%",NA,"jour","individuelle","non","","",50
"79",3,5,"nkundu","primaire","chasse","peche","autre",2,"petitsmoyensongules","non","","","oui","journuit","individuelle","non","","",NA,"jour","individuelle","non","","",28
"80",5,20,"nkundu","aucune","chasse","peche","autre",13,"petitsmoyensongules_grandsongules_sangliers_pangolins_rongeurs","non","","","oui","nuit","individuelle","non","","",NA,"jour","individuelle","non","","",20
"81",1,46,"nkundu","aucune","chasse","peche","agriculture",12,"rongeurs_petitsmoyensongules_grandsongules","oui","jour","individuelle","oui","jour","individuelle","non","","",NA,"jour","individuelle","non","","",26
